,source,target,y2030,y2040,y2050,polygon,technology,scenario
268,electricity,transport,0.12563303068488132,0.25126606136976265,0.5025321227395253,PT,elec_bus_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
269,electricity,transport,21.37485325160003,42.695144896624626,57.94350918132534,ES,elec_car_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
270,electricity,transport,30.456128165735223,60.74313979397049,82.24923755351605,FR,elec_car_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
271,electricity,transport,2.8222474550987644,5.640552961640358,8.85849696714472,PT,elec_car_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
272,electricity,transport,4.046471926192556,5.7653105452303555,8.12872607078872,ES,elec_rail_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
273,electricity,transport,9.829375395471352,16.777685839145466,18.811407980135023,FR,elec_rail_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
274,electricity,transport,0.6971568885636458,0.8950524353458269,1.003393041067865,PT,elec_rail_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
275,electricity,transport,1.5107738359999998,3.0215476719999996,6.4194681965,ES,elec_truck_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
276,electricity,transport,1.2703815875,2.5393897895,3.9786977935,FR,elec_truck_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
277,electricity,transport,0.14975336637566822,0.29950673275133644,0.5990134655026729,PT,elec_truck_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
278,electricity,transport,2.1126352968156263,4.208805696083566,6.313073585948728,ES,elec_van_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
279,electricity,transport,4.866396641133302,9.697692325535982,15.163894115282137,FR,elec_van_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
280,electricity,transport,0.5391536526470405,1.0776271282722387,1.868673004674898,PT,elec_van_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
281,electricity,residual-electricity,209.78982567130035,209.78982567130035,209.78982567130035,ES,elec_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
282,electricity,residual-electricity,332.66656862100393,332.66656862100393,332.66656862100393,FR,elec_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
283,electricity,residual-electricity,42.95984761069764,42.95984761069764,42.95984761069764,PT,elec_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
